id,id_microbe,id_disease,neg_relations,pos_relations,strength_raw,strength_IF
180,14,4282,0,3,3,2.234
181,14,5115,0,1,1,0.818
182,14,2810,0,1,1,0.677
183,14,17,3,6,3,4.145
184,14,577,2,2,0,0.315
185,14,321,1,1,0,-0.164
186,14,18330,1,0,-1,-0.982
187,16,26,1,0,-1,-0.461
188,16,0,1,0,-1,-0.461
189,17,8371,0,1,1,0.438
190,17,2380,0,1,1,0.438
191,19,1106,1,8,7,10.988
192,19,18568,0,1,1,0.692
193,19,35754,1,0,-1,-0.818
194,19,18148,1,0,-1,-0.934
195,19,8860,0,1,1,0.558
196,19,1852,1,0,-1,-0.885
197,19,22064,0,1,1,0.692
198,19,3070,1,0,-1,-0.656
199,19,14465,0,1,1,0.944
200,19,9827,0,1,1,3.5
201,19,2234,0,1,1,3.5
202,19,8868,1,0,-1,-0.758
203,19,14490,1,0,-1,-0.789
204,19,16927,0,1,1,0.783
205,19,9915,0,1,1,0.783
206,19,5101,1,0,-1,-0.793
207,19,12016,1,0,-1,-0.655
208,19,16659,0,1,1,0.783
209,19,17705,0,1,1,3.5
210,19,2369,0,1,1,3.5
211,19,7932,1,0,-1,-0.47
212,19,1472,0,1,1,0.783
213,19,35134,1,0,-1,-1.941
214,19,7950,1,0,-1,-1.941
215,19,3228,1,0,-1,-3.5
216,19,2813,1,0,-1,-0.677
217,19,17041,1,0,-1,-0.32
218,19,15433,0,1,1,0.692
219,19,17265,0,1,1,0.777
220,19,18605,0,1,1,0.699
221,19,10094,0,1,1,0.865
222,19,4040,0,1,1,0.783
223,19,12146,0,1,1,0.767
224,19,6704,1,0,-1,-0.793
225,19,12488,0,1,1,0.885
226,19,2678,0,1,1,0.793
227,19,11362,2,0,-2,-1.57
228,19,18857,1,0,-1,-0.777
229,19,4361,1,0,-1,-3.5
230,19,24761,1,0,-1,-0.699
231,19,11945,0,1,1,0.784
232,19,34490,0,1,1,0.783
233,19,2618,0,1,1,0.826
234,19,6648,0,1,1,0.666
235,19,2112,0,1,1,0.386
236,19,11510,0,1,1,0.386
237,19,6649,0,2,2,1.269
238,19,1784,0,4,4,3.059
239,19,1109,0,1,1,0.875
240,19,22186,0,1,1,0.875
241,19,2677,0,1,1,0.875
242,19,13905,1,0,-1,-0.975
243,19,17952,0,1,1,0.944
244,19,8791,0,1,1,0.826
245,19,5041,0,1,1,0.783
246,19,364,0,1,1,0.508
247,19,20821,0,2,2,1.678
248,19,11026,1,0,-1,-0.944
249,19,17875,1,0,-1,-0.793
250,19,9144,1,0,-1,-0.956
251,19,11341,1,0,-1,-0.944
252,19,1587,1,1,0,0.221
253,19,7905,0,1,1,0.783
254,19,8555,1,0,-1,-0.535
255,19,18167,1,0,-1,-1.478
256,19,33407,1,0,-1,-1.813
257,19,4729,0,1,1,0.574
258,19,6236,0,1,1,3.5
259,19,5317,2,0,-2,-4.655
260,19,14073,1,0,-1,-0.784
261,19,14074,1,0,-1,-0.784
262,19,13822,0,1,1,0.927
263,19,2680,1,0,-1,-0.826
264,19,1217,1,0,-1,-1.53
265,19,5729,1,0,-1,-0.696
266,19,9971,0,1,1,0.713
267,19,20575,1,0,-1,-0.975
268,19,5798,0,1,1,1.126
269,19,11888,0,1,1,0.758
270,19,949,1,1,0,-0.013
271,19,10244,0,1,1,3.5
272,19,10234,1,0,-1,-1.248
273,19,32271,0,1,1,0.784
274,19,6065,0,1,1,0.259
275,19,7436,0,1,1,0.54
276,19,11365,1,0,-1,-0.658
277,19,1104,1,2,1,0.614
278,19,2084,1,0,-1,-0.699
279,19,1701,1,0,-1,-0.666
280,19,15247,1,0,-1,-0.186
281,19,7931,1,0,-1,-0.523
282,19,13366,0,1,1,1.106
283,19,2557,0,1,1,0.401
284,19,23834,0,1,1,0.677
285,19,10611,1,0,-1,-1.049
286,19,792,1,1,0,-1.085
287,19,1311,1,0,-1,-1.804
288,19,3508,1,0,-1,-0.944
289,19,4886,0,1,1,0.696
290,19,19829,0,1,1,0.783
291,19,22253,0,1,1,0.692
292,19,10218,0,1,1,0.692
293,19,13918,1,0,-1,-0.512
294,19,8617,0,2,2,1.719
295,19,27227,1,0,-1,-0.793
296,19,3193,1,0,-1,-0.793
297,19,5855,1,0,-1,-0.928
298,19,5475,1,1,0,0.09
299,19,4471,0,1,1,0.783
300,19,22042,1,0,-1,-1.581
301,19,322,1,4,3,2.02
302,19,27790,0,1,1,1.459
303,19,12106,0,1,1,1.459
304,19,9745,1,0,-1,-0.254
